"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
">AmountList","","","","","","",""
"labware_11","A1","AB1","","300","","",""
"labware_11","A2","AB2","","300","","",""
"labware_11","A3","AB3","","300","","",""
"labware_8","A1","Medium-A","","37","","",""
"labware_8","A2","Medium-B","","37","","",""
"labware_11","A4, A5, A6, B1, B2, B3, B4, B5","-","","8","","",""
"labware_9","A1, A2, A3, A4, A5, B1, B2, B3, B4, B5, C1, C2","-","","12","","",""
">CommandLines","","","","","","",""
"labware_8","A1","labware_9","A1","2800","0","1","Distributing Medium-A to labware_9 A1"
"labware_8","A1","labware_9","A2","3400.6","0","1","Distributing Medium-A to labware_9 A2"
"labware_8","A1","labware_11","A4","471.96","0","1","Distributing Medium-A to labware_11 A4"
"labware_8","A1","labware_9","A6","2800","0","1","Distributing Medium-A to labware_9 A6"
"labware_8","A1","labware_9","B1","3400.6","0","1","Distributing Medium-A to labware_9 B1"
"labware_8","A1","labware_11","A5","471.96","0","1","Distributing Medium-A to labware_11 A5"
"labware_8","A1","labware_11","B1","375","0","1","Distributing Medium-A to labware_11 B1"
"labware_8","A1","labware_11","B2","562.5","0","1","Distributing Medium-A to labware_11 B2"
"labware_8","A1","labware_9","B3","1670.3125","0","1","Distributing Medium-A to labware_9 B3"
"labware_8","A1","labware_9","B2","1623.4375","0","1","Distributing Medium-A to labware_9 B2"
"labware_8","A2","labware_9","A3","2800","0","2","Distributing Medium-B to labware_9 A3"
"labware_8","A2","labware_9","A4","3400.6","0","2","Distributing Medium-B to labware_9 A4"
"labware_8","A2","labware_11","A5","471.96","0","2","Distributing Medium-B to labware_11 A5"
"labware_8","A2","labware_9","B3","2800","0","2","Distributing Medium-B to labware_9 B3"
"labware_8","A2","labware_9","B4","3400.6","0","2","Distributing Medium-B to labware_9 B4"
"labware_8","A2","labware_11","B4","471.96","0","2","Distributing Medium-B to labware_11 B4"
"labware_8","A2","labware_11","B5","375","0","2","Distributing Medium-B to labware_11 B5"
"labware_8","A2","labware_11","C1","562.5","0","2","Distributing Medium-B to labware_11 C1"
"labware_8","A2","labware_9","C2","1670.3125","0","2","Distributing Medium-B to labware_9 C2"
"labware_8","A2","labware_9","B5","1623.4375","0","2","Distributing Medium-B to labware_9 B5"
"labware_11","A1","labware_11","A4","52.44","52.44","3","Initial Dilution"
"labware_11","A1","labware_11","A5","52.44","52.44","4","Initial Dilution"
"labware_11","A2","labware_11","B2","52.8","52.8","5","Initial Dilution"
"labware_11","A3","labware_11","B5","40.2","40.2","6","Initial Dilution"
"labware_11","A4","labware_9","A2","374.4","374.4","6","Serial dilution to  AB1_1000_Medium-A"
"labware_9","A2","labware_9","A1","975","975","7","Serial dilution to  AB1-32-Medium-A"
"labware_11","A5","labware_9","A4","374.4","374.4","8","Serial dilution to  AB1_1000_Medium-B"
"labware_9","A4","labware_9","A3","975","975","9","Serial dilution to  AB1-32-Medium-B"
"labware_11","B2","labware_9","B3","378","378","10","Serial dilution to  AB2_500_Medium-A"
"labware_9","B3","labware_9","B2","726.5625","726.5625","11","Serial dilution to  AB2-32-Medium-A"
"labware_9","B2","labware_9","B1","703.125","703.125","12","Serial dilution to  AB2-16-Medium-A"
"labware_9","B1","labware_9","A5","656.25","656.25","13","Serial dilution to  AB2-8-Medium-A"
"labware_9","A5","labware_11","B1","562.5","562.5","14","Serial dilution to  AB2-4-Medium-A"
"labware_11","B1","labware_11","A6","375","375","15","Serial dilution to  AB2-2-Medium-A"
"labware_11","B5","labware_9","C2","252","252","16","Serial dilution to  AB3_750_Medium-B"
"labware_9","C2","labware_9","C1","726.5625","726.5625","17","Serial dilution to  AB3-32-Medium-B"
"labware_9","C1","labware_9","B5","703.125","703.125","18","Serial dilution to  AB3-16-Medium-B"
"labware_9","B5","labware_9","B4","656.25","656.25","19","Serial dilution to  AB3-8-Medium-B"
"labware_9","B4","labware_11","B4","562.5","562.5","20","Serial dilution to  AB3-4-Medium-B"
"labware_11","B4","labware_11","B3","375","375","21","Serial dilution to  AB3-2-Medium-B"
"labware_9","A1","labware_4","B4, C4, D4, E4, F4, G4, B5, C5, D5, E5, F5, G5","50","0","22","Distributing AB1-16-Medium-A to labware_4"
"labware_9","A1","labware_5","B4, C4, D4, E4, F4, G4, B5, C5, D5, E5, F5, G5","50","0","22","Distributing AB1-16-Medium-A to labware_5"
"labware_9","A1","labware_6","B4, C4, D4, E4, F4, G4, B5, C5, D5, E5, F5, G5","50","0","22","Distributing AB1-16-Medium-A to labware_6"
"labware_9","A2","labware_4","B2, C2, D2, E2, F2, G2, B3, C3, D3, E3, F3, G3","50","0","23","Distributing AB1-32-Medium-A to labware_4"
"labware_9","A2","labware_5","B2, C2, D2, E2, F2, G2, B3, C3, D3, E3, F3, G3","50","0","23","Distributing AB1-32-Medium-A to labware_5"
"labware_9","A2","labware_6","B2, C2, D2, E2, F2, G2, B3, C3, D3, E3, F3, G3","50","0","23","Distributing AB1-32-Medium-A to labware_6"
"labware_9","A3","labware_4","B9, C9, D9, E9, F9, G9, B10, C10, D10, E10, F10, G10","50","0","24","Distributing AB1-16-Medium-B to labware_4"
"labware_9","A3","labware_5","B9, C9, D9, E9, F9, G9, B10, C10, D10, E10, F10, G10","50","0","24","Distributing AB1-16-Medium-B to labware_5"
"labware_9","A3","labware_6","B9, C9, D9, E9, F9, G9, B10, C10, D10, E10, F10, G10","50","0","24","Distributing AB1-16-Medium-B to labware_6"
"labware_9","A4","labware_4","B7, C7, D7, E7, F7, G7, B8, C8, D8, E8, F8, G8","50","0","25","Distributing AB1-32-Medium-B to labware_4"
"labware_9","A4","labware_5","B7, C7, D7, E7, F7, G7, B8, C8, D8, E8, F8, G8","50","0","25","Distributing AB1-32-Medium-B to labware_5"
"labware_9","A4","labware_6","B7, C7, D7, E7, F7, G7, B8, C8, D8, E8, F8, G8","50","0","25","Distributing AB1-32-Medium-B to labware_6"
"labware_11","A6","labware_4","G2, G3, G4, G5","50","0","26","Distributing AB2-1-Medium-A to labware_4"
"labware_11","A6","labware_5","G2, G3, G4, G5","50","0","26","Distributing AB2-1-Medium-A to labware_5"
"labware_11","A6","labware_6","G2, G3, G4, G5","50","0","26","Distributing AB2-1-Medium-A to labware_6"
"labware_11","B1","labware_4","F2, F3, F4, F5","50","0","27","Distributing AB2-2-Medium-A to labware_4"
"labware_11","B1","labware_5","F2, F3, F4, F5","50","0","27","Distributing AB2-2-Medium-A to labware_5"
"labware_11","B1","labware_6","F2, F3, F4, F5","50","0","27","Distributing AB2-2-Medium-A to labware_6"
